pair_1	pair_2	category	coarse_bound_m	final_bound_m	refined	passed
openarm_left_link4	openarm_right_right_finger	interarm	0.29474989200419627	0.29474989200419627	false	true
openarm_left_link5	openarm_left_link7	intra_or_fixed	0.021927910444038544	0.021927910444038544	false	true
openarm_left_link5	openarm_left_right_finger	intra_or_fixed	0.08874829341577252	0.08874829341577252	false	true
openarm_left_link5	openarm_right_hand	interarm	0.2036406704713169	0.2036406704713169	false	true
openarm_left_link5	openarm_right_left_finger	interarm	0.2873552222606991	0.2873552222606991	false	true
openarm_left_link5	openarm_right_link0	interarm	0.28760127003670943	0.28760127003670943	false	true
openarm_left_link5	openarm_right_link1	interarm	0.3342473588594611	0.3342473588594611	false	true
openarm_left_link5	openarm_right_link2	interarm	0.33387184310481843	0.33387184310481843	false	true
openarm_left_link5	openarm_right_link3	interarm	0.2301546828033149	0.2301546828033149	false	true
openarm_left_link5	openarm_right_link4	interarm	0.20950782479848076	0.20950782479848076	false	true
openarm_left_link5	openarm_right_link5	interarm	0.2066275888775082	0.2066275888775082	false	true
openarm_left_link5	openarm_right_link6	interarm	0.21366772247990842	0.21366772247990842	false	true
openarm_left_link5	openarm_right_link7	interarm	0.2348075301820594	0.2348075301820594	false	true
openarm_left_link5	openarm_right_right_finger	interarm	0.24788826255889648	0.24788826255889648	false	true
openarm_left_link6	openarm_left_right_finger	intra_or_fixed	0.07109284398810822	0.07109284398810822	false	true
openarm_left_link6	openarm_right_hand	interarm	0.17370339046662442	0.17370339046662442	false	true
openarm_left_link6	openarm_right_left_finger	interarm	0.25860624996102705	0.25860624996102705	false	true
openarm_left_link6	openarm_right_link0	interarm	0.3668002502253836	0.3668002502253836	false	true
openarm_left_link6	openarm_right_link1	interarm	0.4090004555158558	0.4090004555158558	false	true
openarm_left_link6	openarm_right_link2	interarm	0.40513119437547424	0.40513119437547424	false	true
openarm_left_link6	openarm_right_link3	interarm	0.2742502199394766	0.2742502199394766	false	true
openarm_left_link6	openarm_right_link4	interarm	0.2332014559243506	0.2332014559243506	false	true
openarm_left_link6	openarm_right_link5	interarm	0.21333012917337565	0.21333012917337565	false	true
openarm_left_link6	openarm_right_link6	interarm	0.2005567178990155	0.2005567178990155	false	true
openarm_left_link6	openarm_right_link7	interarm	0.21138870307621782	0.21138870307621782	false	true
openarm_left_link6	openarm_right_right_finger	interarm	0.21893031322203418	0.21893031322203418	false	true
openarm_left_link7	openarm_right_hand	interarm	0.15551171447286624	0.15551171447286624	false	true
openarm_left_link7	openarm_right_left_finger	interarm	0.24842891232181583	0.24842891232181583	false	true
openarm_left_link7	openarm_right_link0	interarm	0.40007126869570797	0.40007126869570797	false	true
openarm_left_link7	openarm_right_link1	interarm	0.44677532155321914	0.44677532155321914	false	true
openarm_left_link7	openarm_right_link2	interarm	0.44551441063835656	0.44551441063835656	false	true
openarm_left_link7	openarm_right_link3	interarm	0.3123762086928993	0.3123762086928993	false	true
openarm_left_link7	openarm_right_link4	interarm	0.263429779266468	0.263429779266468	false	true
openarm_left_link7	openarm_right_link5	interarm	0.23419457754728246	0.23419457754728246	false	true
openarm_left_link7	openarm_right_link6	interarm	0.2108984209053867	0.2108984209053867	false	true
openarm_left_link7	openarm_right_link7	interarm	0.21382572346578016	0.21382572346578016	false	true
openarm_left_link7	openarm_right_right_finger	interarm	0.2068254383838079	0.2068254383838079	false	true
openarm_left_right_finger	openarm_right_hand	interarm	0.18805841521137565	0.18805841521137565	false	true
openarm_left_right_finger	openarm_right_left_finger	interarm	0.2559785533030673	0.2559785533030673	false	true
openarm_left_right_finger	openarm_right_link0	interarm	0.4922936224838448	0.4922936224838448	false	true
openarm_left_right_finger	openarm_right_link1	interarm	0.5321853631248714	0.5321853631248714	false	true
openarm_left_right_finger	openarm_right_link2	interarm	0.5254670205802291	0.5254670205802291	false	true
openarm_left_right_finger	openarm_right_link3	interarm	0.3775261344253197	0.3775261344253197	false	true
openarm_left_right_finger	openarm_right_link4	interarm	0.3253251543505417	0.3253251543505417	false	true
openarm_left_right_finger	openarm_right_link5	interarm	0.2864061692911656	0.2864061692911656	false	true
openarm_left_right_finger	openarm_right_link6	interarm	0.2576678772181795	0.2576678772181795	false	true
openarm_left_right_finger	openarm_right_link7	interarm	0.24863239558995434	0.24863239558995434	false	true
openarm_left_right_finger	openarm_right_right_finger	interarm	0.23370012994128764	0.23370012994128764	false	true
openarm_right_hand	openarm_right_link0	intra_or_fixed	0.45721293476864516	0.45721293476864516	false	true
openarm_right_hand	openarm_right_link1	intra_or_fixed	0.46613886285858713	0.46613886285858713	false	true
openarm_right_hand	openarm_right_link2	intra_or_fixed	0.4509348407586683	0.4509348407586683	false	true
openarm_right_hand	openarm_right_link3	intra_or_fixed	0.276692074832674	0.276692074832674	false	true
openarm_right_hand	openarm_right_link4	intra_or_fixed	0.21041117366112846	0.21041117366112846	false	true
openarm_right_hand	openarm_right_link5	intra_or_fixed	0.08256596276653838	0.08256596276653838	false	true
openarm_right_hand	openarm_right_link6	intra_or_fixed	0.06490955577616507	0.06490955577616507	false	true
openarm_right_left_finger	openarm_right_link0	intra_or_fixed	0.4705766242320875	0.4705766242320875	false	true
openarm_right_left_finger	openarm_right_link1	intra_or_fixed	0.47134961800728137	0.47134961800728137	false	true
openarm_right_left_finger	openarm_right_link2	intra_or_fixed	0.4560830463606566	0.4560830463606566	false	true
openarm_right_left_finger	openarm_right_link3	intra_or_fixed	0.28223905639570945	0.28223905639570945	false	true
openarm_right_left_finger	openarm_right_link4	intra_or_fixed	0.21583623982042807	0.21583623982042807	false	true
